Frase,Sentimento,Frase Limpa
Estou muito feliz com este resultado!,Felicidade,feliz resultado !
Isso me deixa com muita raiva.,Raiva,deixa muita raiva .
Sinto-me triste com essa situação.,Tristeza,Sinto-me triste situação .
Estou tão animado para este evento!,Felicidade,tão animado evento !
Essa história me deixa arrepiado.,Tristeza,história deixa arrepiado .
Fiquei tão furioso quando ouvi isso.,Raiva,Fiquei tão furioso ouvi .
Estou deprimido com as notícias de hoje.,Tristeza,deprimido notícias hoje .
Estou radiante com essa notícia!,Felicidade,radiante notícia !
Essa injustiça me deixa furioso.,Raiva,injustiça deixa furioso .
Meu coração está doendo de tristeza.,Tristeza,coração doendo tristeza .
Estou chocado com essa revelação!,Raiva,chocado revelação !
Estou transbordando de felicidade!,Felicidade,transbordando felicidade !
Estou me sentindo tão miserável.,Tristeza,sentindo tão miserável .
Estou radiante com essa vitória!,Felicidade,radiante vitória !
Essa situação me deixa com tanto medo.,Tristeza,situação deixa tanto medo .
Essa injustiça me faz ferver de raiva.,Raiva,injustiça faz ferver raiva .
Me sinto completamente desamparado.,Tristeza,sinto completamente desamparado .
Estou eufórico com esta notícia!,Felicidade,eufórico notícia !
Estou com muito medo do que pode acontecer depois.,Tristeza,medo pode acontecer .
Isso me faz perder o controle de tanta raiva.,Raiva,faz perder controle tanta raiva .
Estou de coração partido com essa notícia.,Tristeza,coração partido notícia .
Estou transbordando de felicidade e emoção!,Felicidade,transbordando felicidade emoção !
Essa situação me enfurece tanto.,Raiva,situação enfurece tanto .
Estou devastado com essa tragédia.,Tristeza,devastado tragédia .
Estou radiante com esta conquista!,Felicidade,radiante conquista !
Estou extasiado com essa descoberta!,Felicidade,extasiado descoberta !
Isso me deixa com uma alegria imensa.,Felicidade,deixa alegria imensa .
Essa notícia me trouxe um sorriso enorme!,Felicidade,notícia trouxe sorriso enorme !
Fico tão feliz quando estou com meus amigos.,Felicidade,Fico tão feliz amigos .
Estou radiante com o sucesso do projeto!,Felicidade,radiante sucesso projeto !
Estou tão triste por não poder ir ao evento.,Tristeza,tão triste poder ir evento .
Meu coração dói de saudade dos velhos tempos.,Tristeza,coração dói saudade velhos tempos .
Não aguento mais essa sensação de vazio.,Tristeza,aguento sensação vazio .
Sinto um aperto no peito ao lembrar da perda.,Tristeza,Sinto aperto peito lembrar perda .
Estou devastado com essa notícia terrível.,Tristeza,devastado notícia terrível .
Estou furioso com a incompetência dessa empresa.,Raiva,furioso incompetência dessa empresa .
Essa atitude me deixa tão irritado!,Raiva,atitude deixa tão irritado !
Não consigo suportar a falta de respeito.,Raiva,consigo suportar falta respeito .
Estou com tanta raiva que mal consigo falar.,Raiva,tanta raiva mal consigo falar .
Essa injustiça me faz querer gritar de raiva.,Raiva,injustiça faz querer gritar raiva .
Estou transbordando de alegria com essa novidade!,Felicidade,transbordando alegria novidade !
Estou completamente apaixonado por esse filme!,Felicidade,completamente apaixonado filme !
Estou radiante com a chegada das férias!,Felicidade,radiante chegada férias !
Que alegria poder passar tempo com a família!,Felicidade,alegria poder passar tempo família !
Estou tão feliz que mal posso conter o sorriso.,Felicidade,tão feliz mal posso conter sorriso .
Estou triste por não poder estar presente na festa.,Tristeza,triste poder presente festa .
Essa lembrança traz lágrimas aos meus olhos.,Tristeza,lembrança traz lágrimas olhos .
A solidão está me consumindo aos poucos.,Tristeza,solidão consumindo poucos .
Sinto um vazio imenso dentro de mim.,Tristeza,Sinto vazio imenso dentro mim .
Estou deprimido com a situação atual.,Tristeza,deprimido situação atual .
Estou revoltado com a falta de ética dessa empresa.,Raiva,revoltado falta ética dessa empresa .
Essa atitude é completamente inaceitável!,Raiva,atitude completamente inaceitável !
Estou com raiva até o último fio de cabelo.,Raiva,raiva último fio cabelo .
Essa incompetência me deixa enfurecido!,Raiva,incompetência deixa enfurecido !
Estou tão zangado que mal consigo raciocinar direito.,Raiva,tão zangado mal consigo raciocinar direito .
Estou radiante com a notícia do novo emprego!,Felicidade,radiante notícia novo emprego !
Estou tão feliz que sinto borboletas no estômago!,Felicidade,tão feliz sinto borboletas estômago !
Essa conquista é motivo de grande alegria!,Felicidade,conquista motivo grande alegria !
Estou nas nuvens com o resultado do exame!,Felicidade,nuvens resultado exame !
Que alegria poder realizar esse sonho!,Felicidade,alegria poder realizar sonho !
Estou triste por não poder participar da celebração.,Tristeza,triste poder participar celebração .
Essa perda é um golpe duro demais.,Tristeza,perda golpe duro demais .
Sinto um peso no coração ao lembrar do passado.,Tristeza,Sinto peso coração lembrar passado .
A saudade é uma dor que não passa.,Tristeza,saudade dor passa .
Estou tão triste que mal consigo me concentrar.,Tristeza,tão triste mal consigo concentrar .
Estou revoltado com a corrupção neste país.,Raiva,revoltado corrupção neste país .
Essa injustiça é um absurdo completo!,Raiva,injustiça absurdo completo !
Estou com uma raiva que não cabe em mim!,Raiva,raiva cabe mim !
Essa incompetência me deixa fora de mim!,Raiva,incompetência deixa mim !
Estou tão enfurecido que mal consigo falar!,Raiva,tão enfurecido mal consigo falar !
Estou radiante com a notícia do casamento!,Felicidade,radiante notícia casamento !
Estou tão feliz que mal consigo conter as lágrimas!,Felicidade,tão feliz mal consigo conter lágrimas !
Que alegria poder compartilhar esse momento com vocês!,Felicidade,alegria poder compartilhar momento !
Estou tão feliz que sinto que vou explodir de alegria!,Felicidade,tão feliz sinto vou explodir alegria !
Que felicidade poder ver meu filho crescer!,Felicidade,felicidade poder ver filho crescer !
Estou muito feliz com esta nova conquista!,Felicidade,feliz nova conquista !
Isso me deixa com uma alegria indescritível.,Felicidade,deixa alegria indescritível .
Essa notícia me trouxe um sorriso de orelha a orelha!,Felicidade,notícia trouxe sorriso orelha orelha !
Fico tão feliz quando vejo o sucesso dos meus amigos.,Felicidade,Fico tão feliz vejo sucesso amigos .
Estou radiante com o resultado do projeto!,Felicidade,radiante resultado projeto !
Estou tão triste por não poder estar presente no aniversário dela.,Tristeza,tão triste poder presente aniversário .
Meu coração dói de saudades dos velhos tempos.,Tristeza,coração dói saudades velhos tempos .
Não suporto mais essa sensação de vazio que me consome.,Tristeza,suporto sensação vazio consome .
Sinto um aperto no peito ao lembrar da perda que sofri.,Tristeza,Sinto aperto peito lembrar perda sofri .
Estou devastado com essa notícia terrível que recebi.,Tristeza,devastado notícia terrível recebi .
Não tolero a falta de respeito.,Raiva,tolero falta respeito .
Estou com tanta raiva que mal consigo falar direito.,Raiva,tanta raiva mal consigo falar direito .
Estou transbordando de alegria com essa novidade que recebi!,Felicidade,transbordando alegria novidade recebi !
Estou completamente apaixonado por esse filme que acabei de assistir!,Felicidade,completamente apaixonado filme acabei assistir !
Estou radiante com a chegada das férias tão esperadas!,Felicidade,radiante chegada férias tão esperadas !
Que alegria poder passar tempo com a família reunida!,Felicidade,alegria poder passar tempo família reunida !
Estou tão feliz que mal posso conter o sorriso no rosto.,Felicidade,tão feliz mal posso conter sorriso rosto .
Estou triste por não poder estar presente na festa de aniversário dela.,Tristeza,triste poder presente festa aniversário .
Sinto um vazio imenso dentro de mim desde que você partiu.,Tristeza,Sinto vazio imenso dentro mim desde partiu .
Estou deprimido com a situação atual do mundo.,Tristeza,deprimido situação atual mundo .
Essa atitude é completamente inaceitável e me deixa revoltado!,Raiva,atitude completamente inaceitável deixa revoltado !
Estou radiante com a notícia do novo emprego que consegui!,Felicidade,radiante notícia novo emprego consegui !
Essa conquista é motivo de grande alegria para mim!,Felicidade,conquista motivo grande alegria mim !
Estou nas nuvens com o resultado positivo do exame!,Felicidade,nuvens resultado positivo exame !
Que alegria poder realizar esse sonho que tanto almejei!,Felicidade,alegria poder realizar sonho tanto almejei !
Estou triste por não poder participar da celebração da vitória de vocês.,Tristeza,triste poder participar celebração vitória .
Essa perda é um golpe duro demais para superar.,Tristeza,perda golpe duro demais superar .
Sinto um peso no coração ao lembrar do passado que ficou para trás.,Tristeza,Sinto peso coração lembrar passado ficou trás .
A saudade é uma dor que não passa e me consome dia após dia.,Tristeza,saudade dor passa consome dia após dia .
Estou tão triste que mal consigo me concentrar nas atividades do dia a dia.,Tristeza,tão triste mal consigo concentrar atividades dia dia .
Estou revoltado com a corrupção que assola este país.,Raiva,revoltado corrupção assola país .
Essa injustiça é um absurdo completo e me deixa revoltado!,Raiva,injustiça absurdo completo deixa revoltado !
Essa incompetência me deixa fora de mim de tanta raiva!,Raiva,incompetência deixa mim tanta raiva !
Estou radiante com a notícia do casamento de vocês!,Felicidade,radiante notícia casamento !
Estou tão feliz que mal consigo conter as lágrimas de emoção!,Felicidade,tão feliz mal consigo conter lágrimas emoção !
Que felicidade poder compartilhar esse momento tão especial com vocês!,Felicidade,felicidade poder compartilhar momento tão especial !
Estou tão feliz que sinto que vou explodir de alegria a qualquer momento!,Felicidade,tão feliz sinto vou explodir alegria qualquer momento !
Que felicidade poder ver meu filho crescer saudável e feliz!,Felicidade,felicidade poder ver filho crescer saudável feliz !
Estou radiante com esta oportunidade incrível que surgiu!,Felicidade,radiante oportunidade incrível surgiu !
Isso me enche de uma alegria indescritível.,Felicidade,enche alegria indescritível .
Essa notícia me trouxe um sorriso que não cabe no rosto!,Felicidade,notícia trouxe sorriso cabe rosto !
Fico tão feliz quando vejo meus filhos crescendo felizes.,Felicidade,Fico tão feliz vejo filhos crescendo felizes .
Estou radiante com os resultados positivos do projeto!,Felicidade,radiante resultados positivos projeto !
Estou tão triste por não poder abraçar meus pais neste momento.,Tristeza,tão triste poder abraçar pais neste momento .
Meu coração dói de saudades dos momentos que vivemos juntos.,Tristeza,coração dói saudades momentos vivemos juntos .
Não suporto mais esse vazio que sinto dentro de mim.,Tristeza,suporto vazio sinto dentro mim .
Sinto um aperto no peito ao lembrar das palavras não ditas.,Tristeza,Sinto aperto peito lembrar palavras ditas .
Estou devastado com essa perda que pegou todos de surpresa.,Tristeza,devastado perda pegou todos surpresa .
Estou furioso com a falta de comprometimento dessa equipe.,Raiva,furioso falta comprometimento dessa equipe .
Essa atitude me deixa tão irritado que mal consigo me conter!,Raiva,atitude deixa tão irritado mal consigo conter !
Não tolero a falta de respeito e consideração.,Raiva,tolero falta respeito consideração .
Estou com tanta raiva que mal consigo controlar os punhos cerrados.,Raiva,tanta raiva mal consigo controlar punhos cerrados .
Essa injustiça me faz querer gritar de tanta raiva e indignação.,Raiva,injustiça faz querer gritar tanta raiva indignação .
Estou transbordando de alegria com essa notícia maravilhosa que recebi!,Felicidade,transbordando alegria notícia maravilhosa recebi !
Estou completamente encantado com a história desse livro!,Felicidade,completamente encantado história desse livro !
Estou radiante com a chegada do novo membro da família!,Felicidade,radiante chegada novo membro família !
Que alegria poder compartilhar esse momento único com você!,Felicidade,alegria poder compartilhar momento único !
Estou tão feliz que mal consigo conter a emoção!,Felicidade,tão feliz mal consigo conter emoção !
Estou triste por não poder estar presente no casamento de um grande amigo.,Tristeza,triste poder presente casamento grande amigo .
Essa lembrança traz lágrimas aos meus olhos e um nó na garganta.,Tristeza,lembrança traz lágrimas olhos nó garganta .
"A solidão está me corroendo aos poucos, como um veneno silencioso.",Tristeza,"solidão corroendo poucos , veneno silencioso ."
Sinto um vazio profundo dentro de mim que nada parece preencher.,Tristeza,Sinto vazio profundo dentro mim nada parece preencher .
Estou deprimido com a situação atual do mundo e da humanidade.,Tristeza,deprimido situação atual mundo humanidade .
Estou revoltado com a corrupção que assola este país e o mundo inteiro.,Raiva,revoltado corrupção assola país mundo inteiro .
Essa atitude é inaceitável e me deixa revoltado até a última fibra do meu ser!,Raiva,atitude inaceitável deixa revoltado última fibra !
Estou com uma raiva que me consome por inteiro!,Raiva,raiva consome inteiro !
Essa incompetência me deixa enfurecido além da conta!,Raiva,incompetência deixa enfurecido além conta !
Estou tão zangado que mal consigo formular palavras coerentes.,Raiva,tão zangado mal consigo formular palavras coerentes .
Estou radiante com a notícia do nascimento do bebê!,Felicidade,radiante notícia nascimento bebê !
Estou tão feliz que sinto meu coração transbordar de alegria!,Felicidade,tão feliz sinto coração transbordar alegria !
Essa conquista é motivo de grande alegria e orgulho!,Felicidade,conquista motivo grande alegria orgulho !
Estou nas nuvens com o resultado positivo do teste!,Felicidade,nuvens resultado positivo teste !
Que felicidade poder ver meu sonho se tornando realidade!,Felicidade,felicidade poder ver sonho tornando realidade !
Estou triste por não poder estar presente na despedida de solteiro do meu melhor amigo.,Tristeza,triste poder presente despedida solteiro melhor amigo .
Essa perda é um golpe duro demais para suportar sozinho.,Tristeza,perda golpe duro demais suportar sozinho .
Sinto um peso no peito que parece não ter fim.,Tristeza,Sinto peso peito parece ter fim .
A saudade é uma ferida que nunca cicatriza completamente.,Tristeza,saudade ferida nunca cicatriza completamente .
Estou tão triste que mal consigo levantar da cama.,Tristeza,tão triste mal consigo levantar cama .
Estou revoltado com a falta de ética e moral dessa empresa.,Raiva,revoltado falta ética moral dessa empresa .
Essa atitude é um ultraje e me deixa revoltado até o âmago!,Raiva,atitude ultraje deixa revoltado âmago !
Estou com uma raiva que borbulha dentro de mim!,Raiva,raiva borbulha dentro mim !
Essa incompetência me deixa fora de mim de tanta raiva e indignação!,Raiva,incompetência deixa mim tanta raiva indignação !
Estou tão enfurecido que mal consigo respirar!,Raiva,tão enfurecido mal consigo respirar !
Estou radiante com a notícia do retorno de um amigo querido!,Felicidade,radiante notícia retorno amigo querido !
Estou tão feliz que mal consigo conter as lágrimas de felicidade!,Felicidade,tão feliz mal consigo conter lágrimas felicidade !
Estou tão feliz que sinto que vou explodir de tanta alegria!,Felicidade,tão feliz sinto vou explodir tanta alegria !
Que felicidade poder ver meu filho crescendo saudável e feliz!,Felicidade,felicidade poder ver filho crescendo saudável feliz !
Finalmente consegui alcançar meus sonhos!,Felicidade,Finalmente consegui alcançar sonhos !
O sol brilha mais forte quando estou ao seu lado.,Felicidade,sol brilha forte lado .
Um sorriso seu é tudo que eu preciso para ser feliz.,Felicidade,sorriso tudo preciso feliz .
Obrigado por existir e iluminar meus dias!,Felicidade,Obrigado existir iluminar dias !
A vida é uma aventura maravilhosa ao seu lado.,Felicidade,vida aventura maravilhosa lado .
Sinto sua falta a cada segundo que estamos longe.,Tristeza,Sinto falta cada segundo longe .
Meu coração chora de saudades dos seus abraços.,Tristeza,coração chora saudades abraços .
Nada parece completo sem você ao meu lado.,Tristeza,Nada parece completo lado .
Os dias são mais cinzentos quando você não está por perto.,Tristeza,dias cinzentos perto .
Queria poder voltar no tempo para reviver nossos momentos juntos.,Tristeza,Queria poder voltar tempo reviver momentos juntos .
"Não quero mais ouvir suas desculpas, estou cansado disso!",Raiva,"quero ouvir desculpas , cansado disso !"
Você me magoou profundamente e não consigo perdoar.,Raiva,magoou profundamente consigo perdoar .
"Chega de mentiras, não quero mais saber de você!",Raiva,"Chega mentiras , quero saber !"
Estou farto de suas promessas vazias e falsas esperanças.,Raiva,farto promessas vazias falsas esperanças .
Não suporto mais essa situação e tudo que você representa.,Raiva,suporto situação tudo representa .
Estou radiante com o sucesso do nosso projeto em equipe!,Felicidade,radiante sucesso projeto equipe !
A felicidade verdadeira está nas pequenas coisas da vida.,Felicidade,felicidade verdadeira pequenas coisas vida .
Nada se compara à sensação de alcançar um objetivo.,Felicidade,Nada compara sensação alcançar objetivo .
A alegria de viver está em cada amanhecer.,Felicidade,alegria viver cada amanhecer .
Cada conquista é uma vitória que nos enche de felicidade.,Felicidade,Cada conquista vitória enche felicidade .
Estou arrasado com a notícia do falecimento de um amigo.,Tristeza,arrasado notícia falecimento amigo .
A perda de alguém querido é um vazio que nunca se preenche.,Tristeza,perda alguém querido vazio nunca preenche .
A dor da despedida é uma ferida que nunca cicatriza por completo.,Tristeza,dor despedida ferida nunca cicatriza completo .
A saudade é o preço que se paga por amar verdadeiramente.,Tristeza,saudade preço paga amar verdadeiramente .
Cada despedida é um pedaço de mim que se vai junto.,Tristeza,Cada despedida pedaço mim vai junto .
Não suporto mais a incompetência dessa equipe de trabalho!,Raiva,suporto incompetência dessa equipe trabalho !
Estou indignado com a falta de profissionalismo dessa empresa.,Raiva,indignado falta profissionalismo dessa empresa .
A incompetência alheia é uma fonte inesgotável de irritação.,Raiva,incompetência alheia fonte inesgotável irritação .
Estou furioso com a falta de comprometimento dos colegas.,Raiva,furioso falta comprometimento colegas .
Não tolero mais a negligência e descaso com o trabalho.,Raiva,tolero negligência descaso trabalho .
Estou radiante com a notícia do meu novo sobrinho!,Felicidade,radiante notícia novo sobrinho !
Estou tão feliz que mal consigo conter a emoção dentro de mim!,Felicidade,tão feliz mal consigo conter emoção dentro mim !
A alegria de ser tio é um presente que aquece o coração.,Felicidade,alegria tio presente aquece coração .
Cada risada de uma criança é um raio de sol em minha vida.,Felicidade,Cada risada criança raio sol vida .
A inocência infantil é uma fonte inesgotável de felicidade.,Felicidade,inocência infantil fonte inesgotável felicidade .
Estou devastado com a notícia do acidente de um amigo.,Tristeza,devastado notícia acidente amigo .
A tragédia nos lembra da fragilidade da vida humana.,Tristeza,tragédia lembra fragilidade vida humana .
A dor da perda é um fardo que nenhum ombro aguenta sozinho.,Tristeza,dor perda fardo nenhum ombro aguenta sozinho .
A morte nos faz confrontar nossa própria mortalidade.,Tristeza,morte faz confrontar própria mortalidade .
A saudade é a única prova de que o passado realmente existiu.,Tristeza,saudade única prova passado realmente existiu .
Não suporto mais a incompetência desses políticos corruptos!,Raiva,suporto incompetência desses políticos corruptos !
Estou indignado com a falta de honestidade no poder público.,Raiva,indignado falta honestidade poder público .
A corrupção é uma chaga que devora a essência da sociedade.,Raiva,corrupção chaga devora essência sociedade .
A revolta cresce a cada escândalo político revelado.,Raiva,revolta cresce cada escândalo político revelado .
Não tolero mais a impunidade e injustiça que grassam no país.,Raiva,tolero impunidade injustiça grassam país .
Estou radiante com a notícia da promoção no trabalho!,Felicidade,radiante notícia promoção trabalho !
A alegria de alcançar os objetivos é indescritível.,Felicidade,alegria alcançar objetivos indescritível .
Cada conquista profissional é uma vitória que nos impulsiona.,Felicidade,Cada conquista profissional vitória impulsiona .
A felicidade de alcançar os objetivos é a maior de todas.,Felicidade,felicidade alcançar objetivos maior todas .
Cada dia ao seu lado é uma bênção que agradeço.,Felicidade,Cada dia lado bênção agradeço .
Estou radiante com a notícia da sua aprovação no vestibular!,Felicidade,radiante notícia aprovação vestibular !
Você é a luz que ilumina meus dias mais sombrios.,Felicidade,luz ilumina dias sombrios .
Nada me faz mais feliz do que ver você sorrir.,Felicidade,Nada faz feliz ver sorrir .
A felicidade de estar com você não tem preço.,Felicidade,felicidade preço .
Sinto sua falta como se fosse uma parte de mim que se perdeu.,Tristeza,Sinto falta parte mim perdeu .
A solidão é minha companhia desde que você partiu.,Tristeza,solidão companhia desde partiu .
Nada é mais triste do que não ter você ao meu lado.,Tristeza,Nada triste ter lado .
Meu coração chora a sua ausência a cada segundo.,Tristeza,coração chora ausência cada segundo .
A tristeza me consome quando penso em nós dois separados.,Tristeza,tristeza consome penso dois separados .
Você me decepcionou profundamente e não sei se posso perdoar.,Raiva,decepcionou profundamente sei posso perdoar .
"Não quero mais ouvir suas desculpas, você me magoou demais.",Raiva,"quero ouvir desculpas , magoou demais ."
Sua indiferença me irrita mais do que qualquer palavra dita.,Raiva,indiferença irrita qualquer palavra dita .
Estou farto de promessas vazias e esperanças falsas.,Raiva,farto promessas vazias esperanças falsas .
Sua falta de comprometimento me enche de raiva e indignação.,Raiva,falta comprometimento enche raiva indignação .
Estou radiante com a notícia do nascimento do meu sobrinho!,Felicidade,radiante notícia nascimento sobrinho !
Não há alegria maior do que ver a chegada de um novo membro na família.,Felicidade,alegria maior ver chegada novo membro família .
A vida ganha um novo sentido com a chegada de uma criança.,Felicidade,vida ganha novo sentido chegada criança .
A felicidade estampada no rosto dos pais é contagiante.,Felicidade,felicidade estampada rosto pais contagiante .
Cada choro do bebê é uma melodia que enche o coração de alegria.,Felicidade,Cada choro bebê melodia enche coração alegria .
Estou devastado com a notícia da morte de um ente querido.,Tristeza,devastado notícia morte ente querido .
A despedida é a parte mais difícil de qualquer jornada.,Tristeza,despedida parte difícil qualquer jornada .
O luto é um processo doloroso e necessário para seguir em frente.,Tristeza,luto processo doloroso necessário seguir frente .
As lembranças são tudo que nos resta quando alguém se vai.,Tristeza,lembranças tudo resta alguém vai .
A morte nos lembra da finitude da vida e da importância do amor.,Tristeza,morte lembra finitude vida importância amor .
Não suporto mais a corrupção que assola este país!,Raiva,suporto corrupção assola país !
Estou indignado com a impunidade que reina na sociedade.,Raiva,indignado impunidade reina sociedade .
A injustiça é uma ferida aberta que nunca cicatriza completamente.,Raiva,injustiça ferida aberta nunca cicatriza completamente .
A revolta é a voz daqueles que não aceitam a opressão.,Raiva,revolta voz daqueles aceitam opressão .
Estou cansado de ver os poderosos pisarem nos mais fracos.,Raiva,cansado ver poderosos pisarem fracos .
Estou radiante com a notícia da sua promoção no trabalho!,Felicidade,radiante notícia promoção trabalho !
Não há alegria maior do que ver o sucesso dos amigos.,Felicidade,alegria maior ver sucesso amigos .
A felicidade é saber que você está alcançando seus sonhos.,Felicidade,felicidade saber alcançando sonhos .
O sucesso é a recompensa pelo esforço e dedicação.,Felicidade,sucesso recompensa esforço dedicação .
Cada vitória é um degrau a mais rumo aos nossos objetivos.,Felicidade,Cada vitória degrau rumo objetivos .
Estou triste por não poder estar presente no aniversário do meu sobrinho.,Tristeza,triste poder presente aniversário sobrinho .
A distância dói mais do que qualquer palavra dita.,Tristeza,distância dói qualquer palavra dita .
Nada é mais triste do que uma festa sem os entes queridos.,Tristeza,Nada triste festa entes queridos .
Os momentos especiais ficam incompletos sem você.,Tristeza,momentos especiais ficam incompletos .
